id,question,answer,
0,碧冬茄的科属,茄科碧冬茄属的杂交种,
0,碧冬茄的用处,常见的园艺植物,
1,阿拉伯婆婆纳的产地,欧亚大陆。欧洲、南欧、西亚、喜马拉雅山及亚洲。中国西南、华东至华北，包含浙江、陕西及长江流域、日本各地有归化山野自生、台湾全境冬至春季平野至中海拔阴湿地成群自生，宜兰、台北、台中、南投、嘉义，海岸至海拔 2,200 公尺荒地，算是归化种。
1,阿拉伯婆婆纳的名字出处,明代《救荒本草》这本书，作者是朱元璋第五子周定王朱橚，组织王府中的学者共同编写而成。,
1,阿拉伯婆婆纳的药用价值,不含毒性，所以全草都可以入药。有跌打损伤、祛风散热、消肿解毒，主治:肾虚、风湿、痢疾、疥疮、乳腺炎、阴囊肿大、痈疮肿毒。,
2,玉兰的产地,中国中部山野，现世界各地庭园常见栽培，是上海市市花。,
2,玉兰的习性,喜光，稍耐荫，颇耐寒，北京地区于背风向阳处能露地过冬。喜肥沃适当湿润而排水良好的酸性土壤（pH5～6），但亦能生长于碱性土（pH7～8）中。,
2,玉兰的用处,花瓣质厚而清香，可裹面油煎食用，又可糖渍，香甜可口。种子可榨油，树皮可入药，木材可供制小器具或雕刻用。,
3,印度榕的产地,印度榕原产锡金、印度东北部、缅甸、马来西亚北部、印度尼西亚（苏门答腊、爪哇）等地。,
3,印度榕的用处,含有白色黏液的乳汁，所以成为早期橡胶的来源,
4,八仙花的别名,绣球花、八仙花、草绣球、紫阳花,
4,八仙花的特征,一种常见的园艺装饰花，花色一般包括红蓝紫色,
4,八仙花的用处,可作为天然的酸碱指示剂，其在酸性的土壤偏向青色、中性~碱性的土壤则偏向红色。,
5,八角金盘的原产地,日本南部,
5,八角金盘的用处,常见的观赏植物，在冬天温度不低于零下十五摄氏度的地区都可以生存。已被证实可去除室内甲醛。,
6,白车轴草的产地,产自欧洲、北非及西亚,
6,白车轴草的特征,矮生，有白色的花朵，很多时有些粉红色或黄白色，多数密集成头状，花冠一般阔1.5-2厘米，末端有长7厘米的花梗。复叶呈三小叶，呈椭圆形至倒卵形，缘有细齿，及有长柄。茎无毛,
6,白车轴草的用处,是自然或有机草地护理的有益媒介，因为它们有固氮的能力，并比野草优胜。天然固氮可以减低土壤的淋泸，及预防一些疾病。,
7,檵木的产地,中国大陆南部和西南部以及日本、东南亚、印度东北部等地，生长于海拔450－1500米的地区，多见于向阳的丘陵及山地，亦常出现在马尾松林及杉林下。,
